NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
177,久代公民館,,島根県浜田市久代町（３町内）,,,,6.6,0855-28-0813,,322024,島根県,浜田市,,,,,,,,,,,,,
178,櫛色神社,,島根県浜田市久代町,,,,20,―,,322024,島根県,浜田市,,,,,,,,,,,,,
179,大久保生活改善センタ－,,島根県浜田市久代町（１町内）,,,,18.2,0855-28-0998,,322024,島根県,浜田市,,,,,,,,,,,,,
180,浄土寺,,島根県浜田市久代町3町内,,,,7.7,―,,322024,島根県,浜田市,,,,,,,,,,,,,建物老朽化、裏手の空き家が崩れそう。近くの久代公民館を勧める。
181,下府公民館（伊甘神社）,,島根県浜田市下府町（6－2町内）,,,,5.7,0855-28-0847,,322024,島根県,浜田市,,,,,,,,,,,,,線路、神社
182,下府集会所,,島根県浜田市下府町（８町内）,,,,7.2,0855-28-2309,,322024,島根県,浜田市,,,,,,,,,,,,,
183,浜田東中学校,,島根県浜田市下府町699,,,,6.6,0855-28-3210,,322024,島根県,浜田市,,,,,,,,,,,,,近くにヘリポート、防災センターあり。
184,国分公民館　宇野分館,,島根県浜田市宇野町281-3,,,,31.3,0855-28-2646,,322024,島根県,浜田市,,,,,,,,,,,,,
185,東町内公民館（宇野東生活改善センター・宇野東児童館）,,島根県浜田市宇野町（東町内会）,,,,32.8,0855-28-2972,,322024,島根県,浜田市,,,,,,,,,,,,,
186,宇野八幡宮,,島根県浜田市宇野町（南町内会）,,,,57,―,,322024,島根県,浜田市,,,,,,,,,,,,,
187,旧有福小学校,,島根県浜田市下有福町436,,,,45.4,0855-28-2606,,322024,島根県,浜田市,,,,,,,,,,,,,
188,国府公民館　有福分館,,島根県浜田市下有福町436,,,,45.4,0855-28-2841,,322024,島根県,浜田市,,,,,,,,,,,,,
189,光現寺,,島根県浜田市下有福町192,,,,55.7,0855-28-2001,,322024,島根県,浜田市,,,,,,,,,,,,,避難所看板なし
190,大津公民館,,島根県浜田市大金町（大津町内）,,,,42.8,0855-28-2883,,322024,島根県,浜田市,,,,,,,,,,,,,
191,姉金公民館,,島根県浜田市大金町（姉金町内）,,,,107.8,0855-28-2665,,322024,島根県,浜田市,,,,,,,,,,,,,神社、道が崩れている。
192,久佐公民館（くざ会館）,,島根県浜田市金城町久佐イ575-7,,,,,0855-42-2666,,322024,島根県,浜田市,,,,,,,,,,,,,久佐小学校に隣接
193,久佐八幡宮,,島根県浜田市金城町久佐イ56甲,,,,,―,,322024,島根県,浜田市,,,,,,,,,,,,,
194,今福小学校,,島根県浜田市金城町今福1425-5,,,,,0855-42-0304,,322024,島根県,浜田市,,,,,,,,,,,,,
195,今福公民館（ふれあい会館）,,島根県浜田市金城町今福105-2,,,,,0855-42-2083,,322024,島根県,浜田市,,,,,,,,,,,,,
196,美又公民館（美又会館）,,島根県浜田市金城町追原176,,,,,0855-42-1704,,322024,島根県,浜田市,,,,,,,,,,,,,美又小学校に隣接
197,入野集会所（センター入野　ひまわり）,,島根県浜田市金城町入野ロ318-1,,,,,,,322024,島根県,浜田市,,,,,,,,,,,,,
198,雲城公民館（山村開発センター（みどりかいかん））,,島根県浜田市金城町下来原171,,,,,0855-42-2076,,322024,島根県,浜田市,,,,,,,,,,,,,
199,雲城小学校,,島根県浜田市金城町下来原154-5,,,,,0855-42-0006,,322024,島根県,浜田市,,,,,,,,,,,,,
200,金城中学校,,島根県浜田市金城町下来原1402-6,,,,,0855-42-0044,,322024,島根県,浜田市,,,,,,,,,,,,,
201,地域材利用促進交流館（きんたの森交流館）,,島根県浜田市金城町下来原232-77,,,,,―,,322024,島根県,浜田市,,,,,,,,,,,,,
202,金城総合体育館（ふれあいジム・かなぎ）,,島根県浜田市金城町七条イ982,,,,,0855-42-1238,,322024,島根県,浜田市,,,,,,,,,,,,,大型車駐車場14台
203,高齢者生活福祉ｾﾝﾀｰ（さんあいホーム）,,島根県浜田市金城町下来原1541-20,,,,,0855-42-2300,,322024,島根県,浜田市,,,,,,,,,,,,,
204,ふるさと生活創作館（かたらいの家）,,島根県浜田市金城町下来原456-3,,,,,0855-42-2010,,322024,島根県,浜田市,,,,,,,,,,,,,
205,若生まなびや館,,島根県浜田市金城町波佐イ982,,,,,0855-44-0830,,322024,島根県,浜田市,,,,,,,,,,,,,
206,波佐公民館（ときわ会館）,,島根県浜田市金城町波佐イ441-1,,,,,0855-44-0146,,322024,島根県,浜田市,,,,,,,,,,,,,
207,波佐小学校,,島根県浜田市金城町波佐イ558-2,,,,,0855-44-0028,,322024,島根県,浜田市,,,,,,,,,,,,,
208,波佐常磐山八幡宮,,島根県浜田市金城町波佐イ1195,,,,,―,,322024,島根県,浜田市,,,,,,,,,,,,,
209,浄蓮寺,,島根県浜田市金城町波佐イ360,,,,,―,,322024,島根県,浜田市,,,,,,,,,,,,,自宅と隣接
210,柚根集会所,,島根県浜田市金城町小国ハ210,,,,,0855-44-0347,,322024,島根県,浜田市,,,,,,,,,,,,,
211,小国公民館（旧小国小学校）,,島根県浜田市金城町小国イ160-1,,,,,0855-44-0254,,322024,島根県,浜田市,,,,,,,,,,,,,
212,小国まめな館（旧小国公民館）,,島根県浜田市金城町小国イ165-1,,,,,0855-44-0461,,322024,島根県,浜田市,,,,,,,,,,,,,
213,坂本構造改善センター,,島根県浜田市旭町坂本イ7-1,,,,,0855-45-0275,,322024,島根県,浜田市,,,,,,,,,,,,,
214,草ノ谷集会所,,島根県浜田市旭町今市63-1,,,,,―,,322024,島根県,浜田市,,,,,,,,,,,,,手前に1.8m幅の橋あり
215,旭山村開発センター（旭センター）,,島根県浜田市旭町今市633-1,,,,,0855-45-0155,,322024,島根県,浜田市,,,,,,,,,,240,,,
216,市民体育館,,島根県浜田市旭町今市1007-4,,,,,0855-45-0513,,322024,島根県,浜田市,,,,,,,,,,356,,,
217,旭中学校（体育館）,,島根県浜田市旭町今市1354,,,,,0855-45-0076,,322024,島根県,浜田市,,,,,,,,,,175,,,
218,旭公園管理棟,,島根県浜田市旭町今市1378,,,,,0855-45-1150,,322024,島根県,浜田市,,,,,,,,,,,,,
219,旭小学校,,島根県浜田市旭町丸原1517-4,,,,,0855-45-0014,,322024,島根県,浜田市,,,,,,,,,,448,,,
220,今市児童クラブ（旧今市保育所）,,島根県浜田市旭町今市615,,,,,0855-45-0180,,322024,島根県,浜田市,,,,,,,,,,50,,,隣が今市小学校
221,浜田高校今市分校,,島根県浜田市旭町丸原46,,,,,―,,322024,島根県,浜田市,,,,,,,,,,184,,,
222,丸原センター,,島根県浜田市旭町丸原910-1,,,,,0855-45-0383,,322024,島根県,浜田市,,,,,,,,,,62,,,
223,丸原天満宮,,島根県浜田市旭町丸原1308-2,,,,,―,,322024,島根県,浜田市,,,,,,,,,,15,,,
224,三ツ石館,,島根県浜田市旭町丸原155-15,,,,,―,,322024,島根県,浜田市,,,,,,,,,,250,,,
225,旭温泉あさひ荘,,更地のため調査票なし,,,,,―,,322024,島根県,浜田市,,,,,,,,,,,,,改修中、調査不可。
226,しろつの生活センター,,島根県浜田市旭町木田1073-1,,,,,0855-45-1288,,322024,島根県,浜田市,,,,,,,,,,22,,,裏面に川が接している
227,木田小学校（体育館）,,島根県浜田市旭町木田488,,,,,―,,322024,島根県,浜田市,,,,,,,,,,111,,,
228,木田公民館（木田生活改善センター）,,島根県浜田市旭町木田219-13,,,,,0855-45-0780,,322024,島根県,浜田市,,,,,,,,,,,,,
229,山ノ内生活改善センター,,島根県浜田市旭町山ノ内755,,,,,0855-45-0799,,322024,島根県,浜田市,,,,,,,,,,18,,,
230,和田生活改善センター,,島根県浜田市旭町和田444,,,,,0855-45-0336,,322024,島根県,浜田市,,,,,,,,,,36,,,
231,和田八幡宮,,島根県浜田市旭町和田1,,,,,―,,322024,島根県,浜田市,,,,,,,,,,,,,
232,和田公民館（旧和田小学校）,,島根県浜田市旭町和田1284,,,,,0855-45-0411,,322024,島根県,浜田市,,,,,,,,,,,,,
233,重富八幡宮,,島根県浜田市旭町重富217,,,,,―,,322024,島根県,浜田市,,,,,,,,,,25,,,入口道路は急勾配
234,本郷生活改善センター,,島根県浜田市旭町本郷801,,,,,0855-45-1024,,322024,島根県,浜田市,,,,,,,,,,50,,,
235,戸川生活改善センター,,島根県浜田市旭町本郷1213-1,,,,,0855-45-1165,,322024,島根県,浜田市,,,,,,,,,,,,,
236,八戸川漁業センター,,島根県浜田市旭町本郷1268-1,,,,,0855-45-0172,,322024,島根県,浜田市,,,,,,,,,,40,,,
237,谷神社,,島根県浜田市旭町都川2600-6,,,,,―,,322024,島根県,浜田市,,,,,,,,,,,,,
238,西都川集会所,,島根県浜田市旭町都川1079-4,,,,,―,,322024,島根県,浜田市,,,,,,,,,,,,,
239,旧都川小学校（体育館）,,島根県浜田市旭町都川896-1,,,,,0855-45-0011,,322024,島根県,浜田市,,,,,,,,,,113,,,グランド隣接
240,都川公民館（都川高齢者活動促進センター）,,島根県浜田市旭町都川889,,,,,0855-47-0001,,322024,島根県,浜田市,,,,,,,,,,41,,,旧都川小学校（体育館）に隣接
241,東都川集会所,,島根県浜田市旭町都川653-1,,,,,―,,322024,島根県,浜田市,,,,,,,,,,10,,,
242,村武正行宅,,島根県浜田市旭町坂本ロ94,,,,,0855-47-0517,,322024,島根県,浜田市,,,,,,,,,,,,,
243,来尾集会所,,島根県浜田市旭町来尾564-4,,,,,0855-47-0406,,322024,島根県,浜田市,,,,,,,,,,16,,,
244,越木集会所,,島根県浜田市旭町市木3844-1,,,,,―,,322024,島根県,浜田市,,,,,,,,,,53,,,
245,市木公民館（市木生活改善センター）,,島根県浜田市旭町市木2919-2,,,,,0855-47-0851,,322024,島根県,浜田市,,,,,,,,,,53,,,
246,早水生活改善センター,,島根県浜田市旭町市木2508-5,,,,,0855-47-0605,,322024,島根県,浜田市,,,,,,,,,,26,,,
247,天狗石農村交流研修センター,,島根県浜田市旭町市木2560-1,,,,,0855-47-0322,,322024,島根県,浜田市,,,,,,,,,,25,,,
248,中郡集会所,,島根県浜田市旭町市木2508-5,,,,,―,,322024,島根県,浜田市,,,,,,,,,,27,,,
249,市木神社,,島根県浜田市旭町市木973,,,,,―,,322024,島根県,浜田市,,,,,,,,,,35,,,
250,安城公民館（弥栄会館）,,島根県浜田市弥栄町長安本郷544-1,,,,,0855-48-2917,,322024,島根県,浜田市,,,,,,,,,,,,,
251,弥栄小学校,,島根県浜田市弥栄町長安本郷325-1,,,,,0855-48-2110,,322024,島根県,浜田市,,,,,,,,,,,,,
252,ふるさと体験村,,島根県浜田市弥栄町三里ﾊ159,,,,,0855-48-2612,,322024,島根県,浜田市,,,,,,,,,,,,,
253,程原上集会所,,島根県浜田市弥栄町程原,,,,,―,,322024,島根県,浜田市,,,,,,,,,,,,,
254,程原下集会所,,島根県浜田市弥栄町程原,,,,,―,,322024,島根県,浜田市,,,,,,,,,,,,,
255,大坪集会所,,島根県浜田市弥栄町大坪239,,,,,0855-48-2558,,322024,島根県,浜田市,,,,,,,,,,,,,
256,稲代集会所,,島根県浜田市弥栄町稲代18-1,,,,,0855-48-2486,,322024,島根県,浜田市,,,,,,,,,,,,,
257,日高集会所,,島根県浜田市弥栄町高内ｲ400-1,,,,,0855-48-2253,,322024,島根県,浜田市,,,,,,,,,,,,,入口道路に井戸、3m幅の部分あり
258,西河内集会所,,島根県浜田市弥栄町高内ﾛ90,,,,,0855-48-2265,,322024,島根県,浜田市,,,,,,,,,,,,,
259,交流センター門田,,島根県浜田市弥栄町門田589-1,,,,,0855-48-2341,,322024,島根県,浜田市,,,,,,,,,,,,,
260,青尾集会所,,島根県浜田市弥栄町門田495-12,,,,,0855-48-2440,,322024,島根県,浜田市,,,,,,,,,,,,,
261,畑集会所,,島根県浜田市弥栄町小坂,,,,,0855-48-2248,,322024,島根県,浜田市,,,,,,,,,,,,,裏手に斜面あり。
262,小坂集会所,,島根県浜田市弥栄町小坂204-1,,,,,0855-48-2189,,322024,島根県,浜田市,,,,,,,,,,,,,裏手に老朽化した民家あり。
263,栃木集会所,,島根県浜田市弥栄町栃木389-2,,,,,0855-48-2405,,322024,島根県,浜田市,,,,,,,,,,,,,裏が崖。
264,六歩谷集会所,,島根県浜田市弥栄町栃木531,,,,,0855-48-2464,,322024,島根県,浜田市,,,,,,,,,,,,,栃木中央公民館（H25年12月完成予定）との合併を検討中。
265,山賀集会所,,島根県浜田市弥栄町栃木,,,,,0855-48-2372,,322024,島根県,浜田市,,,,,,,,,,,,,
266,杵束公民館（弥栄老人憩の家・福祉センター）,,島根県浜田市弥栄町木都賀ｲ526-3,,,,,0855-48-2101,,322024,島根県,浜田市,,,,,,,,,,,,,
267,西の郷集会所,,島根県浜田市弥栄町木都賀ﾛ,,,,,0855-48-2824,,322024,島根県,浜田市,,,,,,,,,,,,,
268,塚の元集会所,,島根県浜田市弥栄町木都賀,,,,,0855-48-2308,,322024,島根県,浜田市,,,,,,,,,,,,,
269,熊の山集会所,,島根県浜田市弥栄町木都賀,,,,,―,,322024,島根県,浜田市,,,,,,,,,,,,,
270,弥栄中学校,,島根県浜田市弥栄町木都賀ｲ2735,,,,,0855-48-2239,,322024,島根県,浜田市,,,,,,,,,,,,,H27年夏に体育館は新設予定（旧体育館は取り壊し）。
271,小熊集会所,,島根県浜田市弥栄町木都賀,,,,,―,,322024,島根県,浜田市,,,,,,,,,,,,,
272,野坂集会所,,島根県浜田市弥栄町野坂,,,,,0855-48-2766,,322024,島根県,浜田市,,,,,,,,,,,,,裏手に傾斜地あり。
273,上田野原集会所,,島根県浜田市弥栄町田野原,,,,,―,,322024,島根県,浜田市,,,,,,,,,,,,,
274,西の谷集会所,,島根県浜田市三隅町岡見2540-2,,,,65.8,98-1029(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
275,宮ケ迫集会所,,島根県浜田市三隅町岡見2961-2,,,,36,98-1055(ip),,322024,島根県,浜田市,,,,,,,,,,,,,立地条件悪い：国道9号線沿い。裏手は急傾斜。
276,床並集会所,,島根県浜田市三隅町岡見3186,,,,27.7,98-1053(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
277,板ケ峠集会所,,島根県浜田市三隅町岡見4343,,,,117.8,98-1051(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
278,栃の木集会所,,島根県浜田市三隅町岡見3664-3,,,,49.5,98-1052(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
279,尊光寺,,島根県浜田市三隅町岡見1993,,,,13,0855-32-1820,,322024,島根県,浜田市,,,,,,,,,,,,,
280,岡見漁業振興会館,,島根県浜田市三隅町岡見6270-1外,,,,1.2,98-1005(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
281,須津集会所,,島根県浜田市三隅町岡見1947-1,,,,9.6,98-1056(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
282,岡見小学校,,島根県浜田市三隅町岡見4743,,,,29.1,0855-32-0403,,322024,島根県,浜田市,,,,,,,,,,,,,
283,岡見郷集会所,,島根県浜田市三隅町岡見164-2,,,,12.4,98-1054(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
284,岡見公民館,,島根県浜田市三隅町岡見516,,,,16.3,0855-32-2298,,322024,島根県,浜田市,,,,,,,,,,,,,
285,青浦集会所,,島根県浜田市三隅町岡見5198-10,,,,41.8,98-1057(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
286,松原集会所,,島根県浜田市三隅町岡見1182-2,,,,4.5,98-1050(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
287,岡見スポーツセンター,,島根県浜田市三隅町岡見4603,,,,44.4,98-1003(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
288,須津防災多目的広場,,島根県浜田市三隅町岡見5100-5,,,,11,―,,322024,島根県,浜田市,,,,,,,,,,,,,
289,古湊自治会館,,島根県浜田市三隅町古市場1145-9,,,,9,98-1004(ip),,322024,島根県,浜田市,,,,,,,,,,64,,,
290,礼光寺,,島根県浜田市三隅町古市場1283甲,,,,6.8,0855-32-0621,,322024,島根県,浜田市,,,,,,,,,,,,,
291,下古市集会所,,島根県浜田市三隅町古市場1006-3,,,,2.6,0855-32-0397,,322024,島根県,浜田市,,,,,,,,,,,,,
292,上古市集会所,,島根県浜田市三隅町古市場497,,,,7,0855-32-0166,,322024,島根県,浜田市,,,,,,,,,,,,,
293,門殿集会所,,島根県浜田市三隅町古市場1560-2,,,,5,98-2654(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
294,中組集会所,,島根県浜田市三隅町古市場968-1,,,,2.2,98-1049(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
295,明光寺,,島根県浜田市三隅町古市場570,,,,4.3,0855-32-0048,,322024,島根県,浜田市,,,,,,,,,,,,,
296,三隅中央会館,,島根県浜田市三隅町古市場589,,,,46.3,0855-32-0080,,322024,島根県,浜田市,,,,,,,,,,,,,
297,アクアみすみ,,島根県浜田市三隅町古市場589,,,,44.3,0855-32-0080,,322024,島根県,浜田市,,,,,,,,,,,,,
298,三隅小学校,,島根県浜田市三隅町古市場450,,,,45.4,0855-32-4040,,322024,島根県,浜田市,,,,,,,,,,,,,
299,三隅中学校,,島根県浜田市三隅町古市場1991,,,,44.1,0855-32-0062,,322024,島根県,浜田市,,,,,,,,,,,,,
300,三隅中央公園,,島根県浜田市三隅町古市場589,,,,45.5,―,,322024,島根県,浜田市,,,,,,,,,,,,,
301,湊浦集会所,,島根県浜田市三隅町湊浦95,,,,5.9,0855-32-2016,,322024,島根県,浜田市,,,,,,,,,,,,,
302,三保公民館,,島根県浜田市三隅町湊浦120,,,,5.8,0855-32-0314,,322024,島根県,浜田市,,,,,,,,,,,,,
303,極楽寺,,島根県浜田市三隅町湊浦352,,,,5.9,0855-32-1203,,322024,島根県,浜田市,,,,,,,,,,,,,保育園と併設
304,三保児童館,,島根県浜田市三隅町湊浦265,,,,4.9,―,,322024,島根県,浜田市,,,,,,,,,,,,,
305,三隅B＆G海洋センター,,島根県浜田市三隅町西河内1240-1,,,,4.1,0855-32-2565,,322024,島根県,浜田市,,,,,,,,,,,,,
306,駅前集会所,,島根県浜田市三隅町西河内481,,,,7,0855-32-2785,,322024,島根県,浜田市,,,,,,,,,,,,,
307,谷集会所,,島根県浜田市三隅町西河内522-2,,,,6.4,0855-32-0986,,322024,島根県,浜田市,,,,,,,,,,,,,
308,八曽集会所,,島根県浜田市三隅町西河内462-1,,,,4.3,98-1046(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
309,福浦集会所,,島根県浜田市三隅町西河内955,,,,5.6,98-1047(ip),,322024,島根県,浜田市,,,,,,,,,,,,,車両での侵入不可。
310,晴海台集会所,,島根県浜田市三隅町西河内1084-61,,,,31.5,98-1048(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
311,福浦防災広場,,島根県浜田市三隅町西河内,,,,33,―,,322024,島根県,浜田市,,,,,,,,,,,,,
312,田の浦公園オートキャンプ場,,島根県浜田市三隅町西河内1315,,,,14.9,―,,322024,島根県,浜田市,,,,,,,,,,,,,
313,今浦集会所,,島根県浜田市三隅町折居770-9,,,,20,98-1060(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
314,吉浦集会所,,島根県浜田市三隅町折居245-2,,,,15,98-1040(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
315,白砂公民館,,島根県浜田市三隅町折居883,,,,35.1,0855-32-1288,,322024,島根県,浜田市,,,,,,,,,,,,,
316,東平原上集会所,,島根県浜田市三隅町東平原299-1,,,,117.9,98-1039(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
317,東平原下集会所,,島根県浜田市三隅町東平原602-1,,,,106.8,98-1038(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
318,海石集会所,,島根県浜田市三隅町三隅334-4,,,,5.9,0855-32-2457,,322024,島根県,浜田市,,,,,,,,,,,,,
319,岡崎コミュニティー消防センター,,島根県浜田市三隅町三隅577,,,,4.9,98-1032(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
320,小野集会所,,島根県浜田市三隅町三隅731-10,,,,8.3,98-1041(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
321,森溝上ふれあい会館,,島根県浜田市三隅町三隅860-1,,,,9.1,98-1061(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
322,三隅自治会館,,島根県浜田市三隅町三隅1429-6,,,,9.7,98-1059(ip),,322024,島根県,浜田市,,,,,,,,,,71,,,
323,市役所三隅支所,,島根県浜田市三隅町三隅1434,,,,8.9,0855-32-2801（代）,,322024,島根県,浜田市,,,,,,,,,,,,,
324,三隅老人福祉センターみすみ荘,,島根県浜田市三隅町三隅605-2,,,,9.4,0855-32-0401,,322024,島根県,浜田市,,,,,,,,,,,,,
325,三隅公民館,,島根県浜田市三隅町三隅581,,,,9.8,0855-32-0500,,322024,島根県,浜田市,,,,,,,,,,,,,
326,鹿子谷コミュニティー消防センター,,島根県浜田市三隅町河内210-2,,,,35.4,―,,322024,島根県,浜田市,,,,,,,,,,,,,
327,下河内集会所,,島根県浜田市三隅町河内267-2,,,,19.5,98-1037(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
328,用田橋集会所,,島根県浜田市三隅町河内1276-5,,,,21,98-1035(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
329,河内集会所,,島根県浜田市三隅町河内1064,,,,21.1,98-1034(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
330,西方寺,,島根県浜田市三隅町河内674,,,,35,0855-32-0732,,322024,島根県,浜田市,,,,,,,,,,,,,
331,矢原集会所,,島根県浜田市三隅町矢原1174-1,,,,159.6,0855-35-1145,,322024,島根県,浜田市,,,,,,,,,,,,,老朽化
332,矢原自治会館,,島根県浜田市三隅町矢原482-2,,,,49.4,98-1058(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
333,黒沢公民館,,島根県浜田市三隅町下古和1518,,,,38.5,0855-35-1509,,322024,島根県,浜田市,,,,,,,,,,,,,
334,下古和集会所,,島根県浜田市三隅町下古和1525-1,,,,51.2,―,,322024,島根県,浜田市,,,,,,,,,,,,,
335,上古和集会所,,島根県浜田市三隅町下古和146-2,,,,78.1,98-1026(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
336,井川集会所,,島根県浜田市三隅町下古和1485,,,,57.4,98-1027(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
337,黒沢集会所,,島根県浜田市三隅町黒沢724,,,,229.9,98-1028(ip),,322024,島根県,浜田市,,,,,,,,,,,,,老朽化
338,周布地集会所,,島根県浜田市三隅町井野ロ185-2,,,,188.1,98-1011(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
339,八幡センター,,島根県浜田市三隅町井野ハ675-4,,,,163.6,0855-34-0144,,322024,島根県,浜田市,,,,,,,,,,,,,
340,石浦集会所,,島根県浜田市三隅町井野ニ432,,,,217.5,0855-34-0148,,322024,島根県,浜田市,,,,,,,,,,,,,
341,市場集会所,,島根県浜田市三隅町井野ニ844-3,,,,145,98-1012(ip),,322024,島根県,浜田市,,,,,,,,,,,,,元井野駐在所跡地。
342,旧井野小学校,,島根県浜田市三隅町井野ニ798,,,,154.9,―,,322024,島根県,浜田市,,,,,,,,,,,,,
343,小原集会所,,島根県浜田市三隅町井野ホ849-1,,,,92.5,98-1015(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
344,井野公民館,,島根県浜田市三隅町井野ヘ1816-2,,,,177.6,0855-34-0007,,322024,島根県,浜田市,,,,,,,,,,,,,
345,みのり会館,,島根県浜田市三隅町井野ヘ1198-1,,,,148.2,0855-34-0145,,322024,島根県,浜田市,,,,,,,,,,,,,
346,上今明集会所,,島根県浜田市三隅町井野ヘ1751-18,,,,224,0855-34-0533,,322024,島根県,浜田市,,,,,,,,,,,,,
347,上室谷集会所,,島根県浜田市三隅町室谷708-4,,,,226.8,0855-34-0534,,322024,島根県,浜田市,,,,,,,,,,,,,
348,室谷コミュニティー消防センター,,島根県浜田市三隅町井野ト58,,,,275.1,98-1001(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
349,下室谷集会所,,島根県浜田市三隅町室谷1216,,,,142.3,0855-34-0328,,322024,島根県,浜田市,,,,,,,,,,,,,
350,諸谷集会所,,島根県浜田市三隅町井野ト174-3,,,,245,98-1017(ip),,322024,島根県,浜田市,,,,,,,,,,,,,老朽化。避難経路が危険
351,本谷集会所,,島根県浜田市三隅町芦谷344,,,,210,98-1020(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
352,芦谷集会所,,島根県浜田市三隅町芦谷725,,,,206.6,0855-34-0143,,322024,島根県,浜田市,,,,,,,,,,,,,
353,下芦谷集会所,,島根県浜田市三隅町芦谷,,,,252.8,98-1022(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
354,西中芦谷集会所,,島根県浜田市三隅町芦谷2356-50,,,,170.6,98-1021(ip),,322024,島根県,浜田市,,,,,,,,,,,,,
355,島根県立西部総合福祉センター(いわみーる),,島根県浜田市野原町1826-1,,,,,0855-24-9330,,322024,島根県,浜田市,,,,,,,,,,,,,
356,今市公民館（旭保健センター）,,島根県浜田市旭町今市641-1,,,,,,,322024,島根県,浜田市,,,,,,,,,,,,,
357,みのり第2保育園,,島根県浜田市相生町3973-5,,,,11.7,0855-25-7771,,322024,島根県,浜田市,,,,,,,,,,,,,
358,陽光台集会所,,島根県浜田市西村町,,,,50,,,322024,島根県,浜田市,,,,,,,,,,,,,
359,道の駅ゆうひパーク三隅,,島根県浜田市三隅町折居220‐1,,,,,,,322024,島根県,浜田市,,,,,,,,,,,,,
